season,league,W,D,L,goals_scored,goals_conceded,goals_diff,points,place,coach
2019-2020,Premier League,27,1,1,66,21,45,82,1,Jürgen Klopp
2018-2019,Premier League,30,7,1,89,22,67,97,2,Jürgen Klopp
2017-2018,Premier League,21,12,5,84,38,46,75,4,Jürgen Klopp
2016-2017,Premier League,22,10,6,78,42,36,76,4,Jürgen Klopp
2015-2016,Premier League,16,12,10,63,50,13,60,8,Jürgen Klopp
2014-2015,Premier League,18,8,12,52,48,4,62,6,Brendan Rodgers
2013-2014,Premier League,26,6,6,101,50,51,84,2,Brendan Rodgers
2012-2013,Premier League,16,13,9,71,43,28,61,7,Brendan Rodgers
2011-2012,Premier League,14,10,14,47,40,7,52,8,Sir Kenny Dalglish
2010-2011,Premier League,17,7,14,59,44,15,58,6,Sir Kenny Dalglish
2009-2010,Premier League,18,9,11,61,35,26,63,7,Rafael Benítez
2008-2009,Premier League,25,11,2,77,27,50,86,2,Rafael Benítez
2007-2008,Premier League,21,13,4,67,28,39,76,4,Rafael Benítez
2006-2007,Premier League,20,8,10,57,27,30,68,3,Rafael Benítez
2005-2006,Premier League,25,7,6,57,25,32,82,3,Rafael Benítez
2004-2005,Premier League,17,7,14,52,41,11,58,5,Rafael Benítez
2003-2004,Premier League,16,12,10,55,37,18,60,4,Gérard Houllier
2002-2003,Premier League,18,10,10,61,41,20,64,5,Gérard Houllier
2001-2002,Premier League,24,8,6,67,30,37,80,2,Gérard Houllier
2000-2001,Premier League,20,9,9,71,39,32,69,3,Gérard Houllier
1999-2000,Premier League,19,10,9,51,30,21,67,4,Gérard Houllier
1998-1999,Premier League,15,9,14,68,49,19,54,7,Gérard Houllier
1997-1998,Premier League,18,11,9,68,42,26,65,3,Roy Evans
1996-1997,Premier League,19,11,8,62,37,25,68,4,Roy Evans
1995-1996,Premier League,20,11,7,70,34,36,71,3,Roy Evans
1994-1995,Premier League,21,11,10,65,37,28,74,4,Roy Evans
1993-1994,Premier League,17,9,16,59,55,4,60,8,Roy Evans
1992-1993,Premier League,16,11,15,62,55,7,59,6,Graeme Souness
1991-1992,First Division,16,16,10,47,40,7,64,6,Graeme Souness
1990-1991,First Division,23,7,8,77,40,37,76,2,Graeme Souness
1989-1990,First Division,23,10,5,78,37,41,79,1,Sir Kenny Dalglish
1988-1989,First Division,22,10,6,65,28,37,76,2,Sir Kenny Dalglish
1987-1988,First Division,26,12,2,87,24,63,90,1,Sir Kenny Dalglish
1986-1987,First Division,23,8,11,72,42,30,77,2,Sir Kenny Dalglish
1985-1986,First Division,26,10,6,89,37,52,88,1,Sir Kenny Dalglish
1984-1985,First Division,22,11,9,68,35,33,77,2,Joe Fagan
1983-1984,First Division,22,14,6,73,32,41,80,1,Joe Fagan
1982-1983,First Division,24,10,8,87,37,50,82,1,Bob Paisley
1981-1982,First Division,26,9,7,80,32,48,87,1,Bob Paisley
1980-1981,First Division,17,17,8,62,42,20,51,5,Bob Paisley
1979-1980,First Division,25,10,7,81,30,51,60,1,Bob Paisley
1978-1979,First Division,30,8,4,85,16,69,68,1,Bob Paisley
1977-1978,First Division,24,9,9,65,34,31,57,2,Bob Paisley
1976-1977,First Division,23,11,8,62,33,29,57,1,Bob Paisley
1975-1976,First Division,23,14,5,66,31,35,60,1,Bob Paisley
1974-1975,First Division,20,11,11,60,39,21,51,3,Bob Paisley
1973-1974,First Division,22,13,7,52,31,21,57,2,Bill Shankly
1972-1973,First Division,25,10,7,72,42,30,60,1,Bill Shankly
1971-1972,First Division,24,9,9,64,30,34,57,3,Bill Shankly
1970-1971,First Division,17,17,8,42,24,18,51,5,Bill Shankly
1969-1970,First Division,20,11,11,65,42,23,51,5,Bill Shankly
1965-1966,First Division,26,9,7,79,34,45,61,1,Bill Shankly
1964-1965,First Division,17,10,15,67,73,-6,44,7,Bill Shankly
1963-1964,First Division,26,5,11,92,45,47,57,1,Bill Shankly
